CV,R6_nm,R48_nm,fixed_effective_h_volume_nm3,N6_effective,N48_effective,N6_spherical_crosscheck,N48_spherical_crosscheck,Sv6_nm_inv,Sv48_nm_inv,M6_6h_nm3,M6_48h_nm3,kappa_6h_W_mK,kappa_48h_W_mK,delta_kappa_W_mK,relative_change_percent,objective_J,kappa6_within_5pct,kappa48_within_5pct,positive_trend,integration
0.3,14.0,16.5,356237.61016735336,23.93247194572065,14.619072937431048,30.99324521139464,18.93212340708838,0.004315932765195992,0.0036620035583481135,44.09079405715549,72.17979528206986,1.2962334350574267,1.2961111528053424,-0.00012228225208432697,-0.009433659769693375,0.342354604395608,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,19.0,356237.61016735336,22.694837241254668,9.574384461154319,29.39047237770478,12.399105534344203,0.004240214646508342,0.003180160984881257,46.495230638591,110.21091706925273,1.2962104233690412,1.2961695733537641,-4.085001527709409e-05,-0.003151495663097578,0.3423554910671756,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,20.5,356237.61016735336,20.464239251431135,7.622722017272809,26.501783293541603,9.871646071306786,0.004096478556796195,0.0029474662786704332,51.563201488842395,138.4284628832551,1.2961724151337597,1.2962638126635533,9.139752979359095e-05,0.007051340448728736,0.3423558417194298,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,21.0,356237.61016735336,19.457986079720715,7.091102798732038,25.198656254834635,9.183183766339152,0.004028203914182925,0.00287728851013066,54.22974852146498,148.80642994289985,1.2961571604374513,1.2963029081679538,0.0001457477305024657,0.01124460327428782,0.34235662703715053,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,17.5,356237.61016735336,23.93247194572065,12.25342563620896,30.99324521139464,15.868541548234054,0.004315932765195992,0.0034527462121567917,44.09079405715549,86.1148321428819,1.2962334350574267,1.2961171385390609,-0.00011629651836586596,-0.008971880775526648,0.3423576072958148,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,16.0,356237.61016735336,23.93247194572065,16.03288647926207,30.99324521139464,20.763052944352268,0.004315932765195992,0.003776441169546492,44.09079405715549,65.81482961301349,1.2962334350574267,1.296118480119507,-0.00011495493791979783,-0.008868382407888207,0.3423582803440745,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,20.0,356237.61016735336,21.541089185799308,8.20883787738218,27.896335187196488,10.63068310750836,0.004167107497430611,0.0030211529356371945,48.985530988518875,128.54458908791688,1.2961901278083459,1.2962283554150134,3.8227606667495806e-05,0.0029492283460091375,0.3423599218349622,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,18.0,356237.61016735336,23.93247194572065,11.260408610949495,30.99324521139464,14.582555703029302,0.004315932765195992,0.0033568365951524375,44.09079405715549,93.70900544509136,1.2962334350574267,1.2961293092569912,-0.00010412580043550612,-0.008032951289432915,0.342363713263753,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,15.5,356237.61016735336,23.93247194572065,17.635044951577978,30.99324521139464,22.837894628597063,0.004315932765195992,0.003898261852435089,44.09079405715549,59.83549771122082,1.2962334350574267,1.2961335631687185,-9.987188870819175e-05,-0.007704776470587425,0.34236584748872706,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.25,19.5,356237.61016735336,22.694837241254668,8.856616331233834,29.39047237770478,11.469574990821409,0.004240214646508342,0.003098618395525328,46.495230638591,119.14275750165844,1.2962104233690412,1.2961968336099206,-1.358975912069127e-05,-0.0010484222990098698,0.34236917043810866,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.15,15.0,19.5,356237.61016735336,23.571511501165375,10.728953801167679,25.198656254834635,11.469574990821409,0.004577599675220242,0.0035212305194001862,25.181373538288835,55.32347766362054,1.296279750541523,1.2960263140042347,-0.0002534365372881542,-0.019551068138052814,0.34236926414083135,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.15,15.0,19.0,356237.61016735336,23.571511501165375,11.598462066836737,25.198656254834635,12.399105534344203,0.004577599675220242,0.0036138944804370333,25.181373538288835,51.17601217751792,1.296279750541523,1.2960284780649365,-0.00025127247658640606,-0.01938412418163877,0.34237034944469286,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.15,15.0,20.0,356237.61016735336,23.571511501165375,9.944231414554146,25.198656254834635,10.63068310750836,0.004577599675220242,0.0034331997564151814,25.181373538288835,59.689181720388326,1.296279750541523,1.2960290561719747,-0.0002506943695481656,-0.019339526783739208,0.34237063937419165,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,18.5,356237.61016735336,23.93247194572065,10.371856043125968,30.99324521139464,13.431854359673368,0.004315932765195992,0.0032661112817699393,44.09079405715549,101.73701673547272,1.2962334350574267,1.296146933364145,-8.650169328161539e-05,-0.0066733113760318276,0.34237255565562347,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.15,15.0,18.5,356237.61016735336,23.571511501165375,12.564523533284612,25.198656254834635,13.431854359673368,0.004577599675220242,0.0037115673042326285,25.181373538288835,47.241189401294214,1.296279750541523,1.2960359410608437,-0.00024380948067914687,-0.018808400006039984,0.3423740922994222,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.15,15.0,20.5,356237.61016735336,23.571511501165375,9.234207433604636,25.198656254834635,9.871646071306786,0.004577599675220242,0.003349463176990421,25.181373538288835,64.27872020860762,1.296279750541523,1.2960363479357795,-0.00024340260574340356,-0.018777012110365972,0.34237429635906813,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.75,21.0,356237.61016735336,20.464239251431135,7.091102798732038,26.501783293541603,9.183183766339152,0.004096478556796195,0.00287728851013066,51.563201488842395,148.80642994289985,1.2961724151337597,1.2963029081679538,0.0001304930341941013,0.010067567606785935,0.3423754674754651,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,15.0,356237.61016735336,23.93247194572065,19.457986079720715,30.99324521139464,25.198656254834635,0.004315932765195992,0.004028203914182925,44.09079405715549,54.22974852146498,1.2962334350574267,1.2961571604374513,-7.627461997539164e-05,-0.005884327460818233,0.3423776870657361,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.5,20.5,356237.61016735336,21.541089185799308,7.622722017272809,27.896335187196488,9.871646071306786,0.004167107497430611,0.0029474662786704332,48.985530988518875,138.4284628832551,1.2961901278083459,1.2962638126635533,7.368485520742318e-05,0.0056847258458921236,0.3423777187122825,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.3,15.0,21.5,356237.61016735336,19.457986079720715,6.60779081278956,25.198656254834635,8.557280728496044,0.004028203914182925,0.0028103748238485523,54.22974852146498,159.6905413220783,1.2961571604374513,1.2963453704627115,0.0001882100252601493,0.014520617638421923,0.3423779461701596,False,False,True,full_Debye_Gauss_512_weighted_lognormal_64
0.15,15.0,21.0,356237.61016735336,23.571511501165375,8.590200984389712,25.198656254834635,9.183183766339152,0.004577599675220242,0.003269714053728743,25.181373538288835,69.09768898906457,1.296279750541523,1.2960478646119686,-0.00023188592955425413,-0.01788857146440677,0.3423800724374745,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.15,15.0,18.0,356237.61016735336,23.571511501165375,13.64092100761886,25.198656254834635,14.582555703029302,0.004577599675220242,0.0038146663960168686,25.181373538288835,43.513413474163094,1.296279750541523,1.296049136561242,-0.0002306139802807916,-0.017790448410881392,0.3423807103867572,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
0.3,14.0,19.0,356237.61016735336,23.93247194572065,9.574384461154319,30.99324521139464,12.399105534344203,0.004315932765195992,0.003180160984881257,44.09079405715549,110.21091706925273,1.2962334350574267,1.2961695733537641,-6.386170366257105e-05,-0.0049267131934258275,0.3423839154823613,False,False,False,full_Debye_Gauss_512_weighted_lognormal_64
