xB,mu_A_raw,mu_B_raw,mu_GP0_raw,minus_Delta_mu_r_GP_raw,mu_B_minus_mu_A_raw
0.04776776776776777,-152869.63957131855,-144960.08738897776,-150351.39498393127,250.0986764319823,7909.552182340791
0.04825825825825826,-152871.0517203326,-144932.08725927235,-150351.39498393127,258.9808249697671,7938.964461060241
0.04874874874874875,-152872.45115420897,-144904.63400383998,-150351.39498393127,267.6798323514522,7967.8171503689955
0.049239239239239244,-152873.83787443544,-144877.7163891523,-150351.39498393127,276.19962934491923,7996.121485283133
0.04972972972972973,-152875.21188250213,-144851.32351573266,-150351.39498393127,284.544029798446,8023.888366769475
0.05022022022022022,-152876.57317990146,-144825.44480504066,-150351.39498393127,292.71673523110803,8051.128374860797
0.05071071071071071,-152877.9217681282,-144800.0699869949,-150351.39498393127,300.7213391997211,8077.8517811333
0.051201201201201196,-152879.25764867934,-144775.18908809556,-150351.39498393127,308.5613314562361,8104.068560583779
0.051691691691691695,-152880.58082305428,-144750.79242011375,-150351.39498393127,316.2401019061799,8129.788402940525
0.05218218218218219,-152881.89129275474,-144726.8705693147,-150351.39498393127,323.76094438054133,8155.020723440044
0.05267267267267268,-152883.18905928472,-144703.41438618506,-150351.39498393127,331.12706023143255,8179.774673099659
0.05316316316316316,-152884.4741241506,-144680.41497563643,-150351.39498393127,338.3415617606079,8204.059148514178
0.053653653653653655,-152885.7464888611,-144657.8636876588,-150351.39498393127,345.40747549096704,8227.8828012023
0.054144144144144146,-152887.00615492728,-144635.75210839894,-150351.39498393127,352.3277452889015,8251.254046528338
0.05463463463463463,-152888.25312386255,-144614.07205164165,-150351.39498393127,359.10523534604,8274.181072220905
0.05512512512512512,-152889.4873971827,-144592.8155506712,-150351.39498393127,365.7427330275823,8296.671846511512
0.05561561561561562,-152890.7089764058,-144571.97485049345,-150351.39498393127,372.2429515947879,8318.734125912335
0.05610610610610611,-152891.91786305237,-144551.5424003996,-150351.39498393127,378.6085328073823,8340.375462652766
0.0565965965965966,-152893.11405864524,-144531.51084685329,-150351.39498393127,384.84204941321514,8361.603211791953
0.05708708708708709,-152894.29756470973,-144511.87302668483,-150351.39498393127,390.94600753026316,8382.424538024905
0.05757757757757758,-152895.4683827734,-144492.62196057648,-150351.39498393127,396.9228489267989,8402.846422196919
0.058068068068068066,-152896.62651436627,-144473.750846824,-150351.39498393127,402.7749532047892,8422.875667542277
0.05855855855855856,-152897.77196102077,-144455.25305536072,-150351.39498393127,408.5046398915292,8442.51890566005
0.05904904904904905,-152898.90472427162,-144437.1221220307,-150351.39498393127,414.1141704439651,8461.782602240914
0.05953953953953954,-152900.02480565605,-144419.35174309887,-150351.39498393127,419.6057501702453,8480.67306255718
0.06003003003003003,-152901.1322067137,-144401.93576998624,-150351.39498393127,424.9815300721675,8499.196436727449
0.060520520520520524,-152902.22692898652,-144384.86820421962,-150351.39498393127,430.24360861314926,8517.358724766906
0.061011011011011015,-152903.30897401896,-144368.14319258468,-150351.39498393127,435.3940334143117,8535.165781434276
0.0615015015015015,-152904.37834335788,-144351.75502247366,-150351.39498393127,440.4348028828681,8552.623320884217
