CV48,CV6,J_abs,J_delta,J_relative,N48_equivalent,N6_equivalent,PF_coarsening_compatible,R48_nm,R48_over_R6,R6_nm,beta_inventory_h_volume_nm3,both_endpoints_within_5percent,classification,delta_kappa_W_mK,kappa48_W_mK,kappa6_W_mK,relative_change
0.0,0.0,0.3826661505385376,0.044799929194823035,0.055511902681077495,15.868541548234054,680363.7188805351,False,17.5,35.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03165993762359243,1.2960991312186971,1.3277590688422896,-0.023844640467187782
0.0,0.0,0.3826511129388869,0.04481262041542151,0.05552254236100887,14.582555703029302,680363.7188805351,False,18.0,36.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031689915714994576,1.296069153127295,1.3277590688422896,-0.023867218427380734
0.0,0.0,0.3826393234269241,0.04482257261814531,0.05553088544552184,13.431854359673368,680363.7188805351,False,18.5,37.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03171342096840557,1.296045647873884,1.3277590688422896,-0.023884921378136317
0.0,0.0,0.38263053204436226,0.04482999521965285,0.05553710773146574,12.399105534344203,680363.7188805351,False,19.0,38.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03173095007497806,1.2960281187673115,1.3277590688422896,-0.02389812340174424
0.0,0.0,0.38262451329784697,0.0448350775092707,0.05554136806339529,11.469574990821409,680363.7188805351,False,19.5,39.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031742951498439975,1.2960161173438496,1.3277590688422896,-0.02390716225807258
0.0,0.0,0.3826210631930376,0.04483799104548944,0.05554381035877397,10.63068310750836,680363.7188805351,False,20.0,40.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03174983127617703,1.2960092375661125,1.3277590688422896,-0.023912343753645458
0.0,0.0,0.3826199966916801,0.04483889171639417,0.055544565348277494,9.871646071306786,680363.7188805351,False,20.5,41.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03175195799896202,1.2960071108433275,1.3277590688422896,-0.023913945492119625
0.0,0.0,0.38262114552293364,0.04483792151775652,0.05554375207688645,9.183183766339152,680363.7188805351,False,21.0,42.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031749667101878876,1.2960094017404107,1.3277590688422896,-0.023912220105988282
0.0,0.0,0.382624356292671,0.04483521009293204,0.05554147920328252,8.557280728496044,680363.7188805351,False,21.5,43.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03174326457512655,1.296015804267163,1.3277590688422896,-0.023907398051368156
0.0,0.0,0.38262948884446907,0.044830876070989095,0.05553784612848422,7.98698956236541,680363.7188805351,False,22.0,44.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031733030184213584,1.296026038658076,1.3277590688422896,-0.023899690033284807
0.0,0.0,0.38263641483402394,0.04482502823328056,0.055532943979364174,7.466268519951003,680363.7188805351,False,22.5,45.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03171922027364582,1.2960398485686437,1.3277590688422896,-0.023889289117266357
0.0,0.0,0.3826450164852396,0.04481776653360322,0.055526856468377905,6.9898467050272775,680363.7188805351,False,23.0,46.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.0317020702156765,1.296056998626613,1.3277590688422896,-0.023876372573616408
0.0,0.0,0.3826551855015168,0.0448091829929707,0.05551966064732959,6.553111727464388,680363.7188805351,False,23.5,47.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03168179655551562,1.296077272286774,1.3277590688422896,-0.02386110349307564
0.0,0.0,0.3826668221100857,0.044799362486645955,0.05551142757012766,6.152015687215487,680363.7188805351,False,24.0,48.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03165859889606648,1.296100469946223,1.3277590688422896,-0.023843632206308713
0.0,0.0,0.38267983422076657,0.044788383438299016,0.05550222287712027,5.782996191047396,680363.7188805351,False,24.5,49.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03163266155841593,1.2961264072838736,1.3277590688422896,-0.023824097534500245
0.0,0.0,0.3826941366834636,0.044776318433854934,0.0554921073116477,5.442909751044281,680363.7188805351,False,25.0,50.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.031604155048654325,1.2961549137936352,1.3277590688422896,-0.023802627894088404
0.0,0.0,0.3827096506311026,0.044763234765695485,0.055481137177834206,5.1289754233329194,680363.7188805351,False,25.5,51.0,0.5,356237.61016735336,False,NON_PF_RESOLVED_MATHEMATICAL_DIAGNOSTIC,-0.03157323735693862,1.296185831485351,1.3277590688422896,-0.023779342275152535
