T_K,omega_rad_s,frequency_THz,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,small_precipitate_rate_s-1,big_precipitate_rate_s-1,total_rate_s-1,dkappa_dx_W_mK
300.0,15149275568721.617,2.4110820910233297,585196938825.4199,170192307.69230768,185929776662.61392,173050612137.90402,19016968381.414436,963364488315.0446,3.6519439181492643
300.0,15226494517347.219,2.423371868397453,591177879514.323,170192307.69230768,189749747710.47742,174743840201.75577,19016975398.928303,974858635133.1768,3.645308821393574
300.0,15302764817400.566,2.4355106636620456,597115193787.1187,170192307.69230768,193580274106.67993,176406267123.62637,19016982157.73195,986288909482.8491,3.63879236853082
300.0,15378075027590.674,2.4474966558790907,603006877412.9436,170192307.69230768,197419199721.0431,178037800511.88284,19016988668.214664,997651058621.7765,3.6323929931471266
300.0,15452413850649.414,2.459328047032523,608850933924.7631,170192307.69230768,201264328856.09247,179638377628.99832,19016994940.257355,1008940827657.8035,3.626109201701919
300.0,15525770135026.248,2.471003062297951,614645375586.4744,170192307.69230768,205113428151.64838,181207963722.736,19017000983.259747,1020153960751.8107,3.619939574289373
300.0,15598132876561.04,2.482519950308894,620388224357.7465,170192307.69230768,208964228561.1661,182746550379.78098,19017006806.165928,1031286202412.5518,3.6138827650016943
300.0,15669491220134.805,2.4938769834195087,626077512856.0547,170192307.69230768,212814427397.5943,184254153906.48166,19017012417.488426,1042333298885.3114,3.607937501927151
300.0,15739834461298.082,2.5050724579637493,631711285315.3657,170192307.69230768,216661690446.37656,185730813740.80493,19017017825.330803,1053290999635.5703,3.6021025868146075
300.0,15809152047876.697,2.5161046945109367,637287598540.9283,170192307.69230768,220503654143.09457,187176590899.08737,19017023037.408955,1064155058928.2115,3.5963768944350107
300.0,15877433581554.709,2.526972038117688,642804522859.6373,170192307.69230768,224337927813.12323,188591566460.6646,19017028061.071125,1074921237502.1886,3.5907593716688657
300.0,15944668819434.242,2.537672858576175,648260143065.4215,170192307.69230768,228162095970.53842,189975840092.9923,19017032903.31678,1085585304339.9613,3.5852490363474985
