points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
4,1.9733664985477454e-08,independent_subcell_probe,0.9999999652527796,0.9999999650797391,1.7304047084110152e-10,0.999999669470975,0.9999996679452455,1.525729431683942e-09
4,1.9741924347084702e-08,independent_subcell_probe,0.999999965821462,0.999999965821466,3.9968028886505635e-15,0.9999996744881208,0.9999996744875816,5.39124300757976e-13
4,1.9750183708691953e-08,independent_subcell_probe,0.9999999663901442,0.9999999665631928,1.730485754691813e-10,0.9999996795115678,0.999999681041094,1.5295262834058576e-09
4,1.97584430702992e-08,canonical_cell_edge,0.9999999669588265,0.9999999669588305,3.9968028886505635e-15,0.9999996845413208,0.9999996845413175,3.3306690738754696e-15
4,1.976671626524513e-08,independent_subcell_probe,0.9999999674919519,0.9999999673297311,1.6222079235461706e-10,0.9999996892625099,0.9999996878249774,1.4375325374516024e-09
4,1.9774989460191065e-08,independent_subcell_probe,0.9999999680250773,0.9999999680250813,3.9968028886505635e-15,0.9999996939896307,0.9999996939891223,5.084821452783217e-13
4,1.9783262655136994e-08,independent_subcell_probe,0.9999999685582026,0.9999999687204316,1.6222900800499929e-10,0.9999996987226883,0.9999997001637972,1.4411088988808274e-09
4,1.9791535850082924e-08,canonical_cell_edge,0.999999969091328,0.999999969091332,3.9968028886505635e-15,0.9999997034616877,0.999999703461684,3.6637359812630166e-15
4,1.979982290153655e-08,independent_subcell_probe,0.9999999695910483,0.9999999694389924,1.5205592340805651e-10,0.9999997079093247,0.9999997065550844,1.3542402754751492e-09
4,1.9808109952990177e-08,independent_subcell_probe,0.9999999700907686,0.9999999700907727,4.107825191113079e-15,0.9999997123625497,0.9999997123620703,4.793943020331426e-13
4,1.9816397004443804e-08,independent_subcell_probe,0.999999970590489,0.9999999707425531,1.5206413905843874e-10,0.9999997168213676,0.9999997181789764,1.3576088031541644e-09
4,1.982468405589743e-08,canonical_cell_edge,0.9999999710902092,0.9999999710902133,4.107825191113079e-15,0.9999997212857827,0.9999997212857792,3.552713678800501e-15
4,1.983298498706657e-08,independent_subcell_probe,0.9999999715585506,0.999999971416043,1.4250756130707032e-10,0.999999725475119,0.9999997241995274,1.2755915212991908e-09
4,1.9841285918235712e-08,independent_subcell_probe,0.999999972026892,0.9999999720268962,4.218847493575595e-15,0.9999997296697188,0.9999997296692671,4.517497487199762e-13
4,1.9849586849404854e-08,independent_subcell_probe,0.9999999724952332,0.9999999726377493,1.4251611002435993e-10,0.9999997338695865,0.9999997351483507,1.2787642056366622e-09
4,1.9857887780573993e-08,canonical_cell_edge,0.9999999729635746,0.9999999729635789,4.3298697960381105e-15,0.9999997380747266,0.9999997380747231,3.552713678800501e-15
4,1.9866202614705335e-08,independent_subcell_probe,0.9999999734024447,0.9999999732689051,1.3353962380335815e-10,0.9999997420201993,0.9999997408188604,1.2013388062115382e-09
4,1.9874517448836677e-08,independent_subcell_probe,0.9999999738413148,0.9999999738413191,4.3298697960381105e-15,0.9999997459706291,0.9999997459702036,4.255484853388225e-13
4,1.988283228296802e-08,independent_subcell_probe,0.999999974280185,0.9999999744137332,1.3354828354295023e-10,0.9999997499260201,0.9999997511303468,1.2043266384154094e-09
4,1.9891147117099363e-08,canonical_cell_edge,0.999999974719055,0.9999999747190593,4.3298697960381105e-15,0.9999997538863766,0.9999997538863734,3.219646771412954e-15
4,1.9899475877478532e-08,independent_subcell_probe,0.9999999751302496,0.9999999750051314,1.2511824909466895e-10,0.9999997576016506,0.999999756470404,1.1312466519086684e-09
4,1.99078046378577e-08,independent_subcell_probe,0.9999999755414444,0.9999999755414486,4.218847493575595e-15,0.9999997613215923,0.9999997613211917,4.005684672847565e-13
4,1.991613339823687e-08,independent_subcell_probe,0.999999975952639,0.9999999760777659,1.2512690883426103e-10,0.999999765046206,0.9999997661802662,1.1340601790976734e-09
4,1.9924462158616037e-08,canonical_cell_edge,0.9999999763638336,0.999999976363838,4.3298697960381105e-15,0.9999997687754952,0.9999997687754922,2.9976021664879227e-15
4,1.9932804868567656e-08,independent_subcell_probe,0.999999976749043,0.9999999766318318,1.1721112969098613e-10,0.9999997722735011,0.9999997712084094,1.0650916815180267e-09
4,1.994114757851927e-08,independent_subcell_probe,0.9999999771342525,0.9999999771342566,4.107825191113079e-15,0.999999775775902,0.9999997757755247,3.773648060700907e-13
4,1.994949028847089e-08,independent_subcell_probe,0.9999999775194618,0.9999999776366815,1.1721967840827574e-10,0.9999997792827016,0.999999780350442,1.0677404516101774e-09
4,1.995783299842251e-08,canonical_cell_edge,0.9999999779046711,0.9999999779046752,4.107825191113079e-15,0.9999997827939032,0.9999997827939,3.219646771412954e-15
4,1.9966189681310265e-08,independent_subcell_probe,0.9999999782654858,0.9999999781556976,1.0978817854834233e-10,0.9999997860868767,0.999999785084214,1.002662619598027e-09
4,1.997454636419802e-08,independent_subcell_probe,0.9999999786263004,0.9999999786263047,4.3298697960381105e-15,0.9999997893839875,0.9999997893836321,3.553823901825126e-13
4,1.998290304708578e-08,independent_subcell_probe,0.9999999789871151,0.9999999790969119,1.0979672726563194e-10,0.9999997926852392,0.9999997936903947,1.0051555143775204e-09
4,1.9991259729973537e-08,canonical_cell_edge,0.9999999793479297,0.9999999793479343,4.551914400963142e-15,0.999999795990635,0.9999997959906317,3.3306690738754696e-15
4,1.9999630409200252e-08,independent_subcell_probe,0.9999999796858463,0.999999979583026,1.0282030782349239e-10,0.9999997990901507,0.9999997981463928,9.437578496473975e-10
4,2.000800108842697e-08,independent_subcell_probe,0.9999999800237628,0.9999999800237673,4.551914400963142e-15,0.9999998021935608,0.9999998021932258,3.3495428652940973e-13
4,2.0016371767653686e-08,independent_subcell_probe,0.9999999803616794,0.9999999804645086,1.0282918960768939e-10,0.9999998053008681,0.9999998062469718,9.461037508984305e-10
4,2.00247424468804e-08,canonical_cell_edge,0.9999999806995961,0.9999999806996004,4.3298697960381105e-15,0.9999998084120764,0.999999808412073,3.3306690738754696e-15
4,2.0033127145888093e-08,independent_subcell_probe,0.9999999810160224,0.9999999809197413,9.628109420845021e-11,0.999999811329083,0.9999998104408963,8.881867463728099e-10
4,2.004151184489579e-08,independent_subcell_probe,0.9999999813324489,0.9999999813324533,4.3298697960381105e-15,0.9999998142497546,0.9999998142494393,3.1530333899354446e-13
