probe_path,matrix_xB,radius_m,xeq_alpha_beta,chemical_driving_force_xB,gibbs_thomson_embedded_in_xeq,elastic_correction_included,elastic_penalty_j_m3,growth_rate_eulerian_m_s,growth_rate_cohort_m_s,growth_sign,critical_radius_m,molar_inventory_per_particle_mol,relative_difference
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.088976572873556e-09,0.006362247751280329,-0.00014166919396802011,True,True,0.0,-1.4229920809879222e-13,-1.4229920809879222e-13,DISSOLUTION,8.714603508943103e-09,5.406175785569621e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.093580080125995e-09,0.006361112746313776,-0.0001405341890014667,True,True,0.0,-1.4107870530920322e-13,-1.4107870530920322e-13,DISSOLUTION,8.714603508943103e-09,5.415411145142784e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.09710842692826e-09,0.006360243835078862,-0.00013966527776655257,True,True,0.0,-1.4014520932034133e-13,-1.4014520932034133e-13,DISSOLUTION,8.714603508943103e-09,5.422496679378671e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.098990282833865e-09,0.006359780756353824,-0.00013920219904151477,True,True,0.0,-1.396480185059823e-13,-1.396480185059823e-13,DISSOLUTION,8.714603508943103e-09,5.4262782994268e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.102524539150525e-09,0.006358911734653861,-0.00013833317734155207,True,True,0.0,-1.3871555922015433e-13,-1.3871555922015433e-13,DISSOLUTION,8.714603508943103e-09,5.433385195884887e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.107135756668957e-09,0.006357779221462828,-0.00013720066415051895,True,True,0.0,-1.3750150540914234e-13,-1.3750150540914234e-13,DISSOLUTION,8.714603508943103e-09,5.442667037240735e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.110670012985617e-09,0.0063569122175962875,-0.0001363336602839783,True,True,0.0,-1.3657294309537053e-13,-1.3657294309537053e-13,DISSOLUTION,8.714603508943103e-09,5.449788233137647e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.112555020751058e-09,0.006356450155305821,-0.00013587159799351156,True,True,0.0,-1.3607838044054378e-13,-1.3607838044054378e-13,DISSOLUTION,8.714603508943103e-09,5.453588886168734e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.116095196479766e-09,0.006355583040913053,-0.00013500448360074385,True,True,0.0,-1.3515085095306557e-13,-1.3515085095306557e-13,DISSOLUTION,8.714603508943103e-09,5.460731551804416e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.120714137177871e-09,0.006354453013036408,-0.00013387445572409905,True,True,0.0,-1.3394321726814672e-13,-1.3394321726814672e-13,DISSOLUTION,8.714603508943103e-09,5.470060108886862e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.124254312906579e-09,0.006353587911593256,-0.0001330093542809465,True,True,0.0,-1.3301956655606509e-13,-1.3301956655606509e-13,DISSOLUTION,8.714603508943103e-09,5.477217145930783e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.1261424778108e-09,0.006353126863102466,-0.00013254830579015678,True,True,0.0,-1.3252762030219948e-13,-1.3252762030219948e-13,DISSOLUTION,8.714603508943103e-09,5.481036927738266e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.12968858286579e-09,0.006352261651073119,-0.0001316830937608095,True,True,0.0,-1.3160499855658207e-13,-1.3160499855658207e-13,DISSOLUTION,8.714603508943103e-09,5.488215542578662e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.134315259678872e-09,0.006351134102069915,-0.00013055554475760543,True,True,0.0,-1.304037562729419e-13,-1.304037562729419e-13,DISSOLUTION,8.714603508943103e-09,5.497591050509061e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.137861364733863e-09,0.006350270898120614,-0.00012969234080830502,True,True,0.0,-1.2948499518682108e-13,-1.2948499518682108e-13,DISSOLUTION,8.714603508943103e-09,5.504784109089331e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.139752692064656e-09,0.006349810860802835,-0.00012923230349052607,True,True,0.0,-1.289956536273692e-13,-1.289956536273692e-13,DISSOLUTION,8.714603508943103e-09,5.508623115948802e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.143304736376765e-09,0.006348947546208576,-0.0001283689888962672,True,True,0.0,-1.280779176647118e-13,-1.280779176647118e-13,DISSOLUTION,8.714603508943103e-09,5.515837860927103e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.147939162261795e-09,0.006347822469657976,-0.00012724391234566687,True,True,0.0,-1.2688303818461481e-13,-1.2688303818461481e-13,DISSOLUTION,8.714603508943103e-09,5.525260556010183e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.151491206573905e-09,0.006346961158288378,-0.0001263826009760688,True,True,0.0,-1.2596914484593765e-13,-1.2596914484593765e-13,DISSOLUTION,8.714603508943103e-09,5.532489817424043e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.153385701627912e-09,0.006346502129525142,-0.00012592357221283268,True,True,0.0,-1.2548239632613624e-13,-1.2548239632613624e-13,DISSOLUTION,8.714603508943103e-09,5.536348146095634e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.156943695144612e-09,0.006345640707453016,-0.00012506215014070673,True,True,0.0,-1.2456952428466557e-13,-1.2456952428466557e-13,DISSOLUTION,8.714603508943103e-09,5.543599203055682e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.16158588308026e-09,0.0063445180969542185,-0.00012393953964190928,True,True,0.0,-1.233809791368669e-13,-1.233809791368669e-13,DISSOLUTION,8.714603508943103e-09,5.553069322785489e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.16514387659696e-09,0.006343658673265507,-0.0001230801159531978,True,True,0.0,-1.2247193176388332e-13,-1.2247193176388332e-13,DISSOLUTION,8.714603508943103e-09,5.56033496924266e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.167041544679704e-09,0.006343200650446513,-0.00012262209313420366,True,True,0.0,-1.2198776468051248e-13,-1.2198776468051248e-13,DISSOLUTION,8.714603508943103e-09,5.564212716973514e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.170605497365125e-09,0.006342341115998892,-0.00012176255868658319,True,True,0.0,-1.210797347951415e-13,-1.210797347951415e-13,DISSOLUTION,8.714603508943103e-09,5.571500268674367e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.175255460351796e-09,0.00634122096517106,-0.00012064240785875091,True,True,0.0,-1.1989749563430268e-13,-1.1989749563430268e-13,DISSOLUTION,8.714603508943103e-09,5.581018051740267e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.178819413037217e-09,0.006340363424279691,-0.00011978486696738195,True,True,0.0,-1.1899327254157633e-13,-1.1899327254157633e-13,DISSOLUTION,8.714603508943103e-09,5.588320266367526e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.180720259463102e-09,0.006339906404802777,-0.00011932784749046823,True,True,0.0,-1.1851167534272354e-13,-1.1851167534272354e-13,DISSOLUTION,8.714603508943103e-09,5.59221753089423e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.184290181298062e-09,0.0063390487530973014,-0.00011847019578499225,True,True,0.0,-1.1760846594459937e-13,-1.1760846594459937e-13,DISSOLUTION,8.714603508943103e-09,5.599541761014779e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.188947932357944e-09,0.00633793105557948,-0.00011735249826717083,True,True,0.0,-1.1643250455069983e-13,-1.1643250455069983e-13,DISSOLUTION,8.714603508943103e-09,5.609107447307472e-20,0.0
CohortSolver.growth_rates_vs_shared_kernel,0.006220578557312309,8.192517854192904e-09,0.00633707539261713,-0.00011649683530482076,True,True,0.0,-1.1553308414866755e-13,-1.1553308414866755e-13,DISSOLUTION,8.714603508943103e-09,5.616446414153283e-20,0.0
